enrollment_id,date,presence
E0001,2026-01-26,False
E0001,2026-01-28,True
E0001,2026-01-19,True
E0001,2026-01-21,True
E0001,2026-01-12,True
E0001,2026-01-14,True
E0001,2026-01-05,True
E0001,2026-01-07,True
E0001,2025-12-29,True
E0001,2025-12-31,True
E0001,2025-12-22,False
E0001,2025-12-24,True
E0001,2025-12-15,True
E0001,2025-12-17,True
E0001,2025-12-08,True
E0001,2025-12-10,True
E0001,2025-12-01,True
E0001,2025-12-03,True
E0001,2025-11-24,True
E0001,2025-11-26,True
E0001,2025-11-17,True
E0001,2025-11-19,True
E0001,2025-11-10,True
E0001,2025-11-12,True
E0002,2026-01-26,True
E0002,2026-01-28,False
E0002,2026-01-19,False
E0002,2026-01-21,True
E0002,2026-01-12,False
E0002,2026-01-14,True
E0002,2026-01-05,True
E0002,2026-01-07,False
E0002,2025-12-29,False
E0002,2025-12-31,False
E0002,2025-12-22,True
E0002,2025-12-24,True
E0002,2025-12-15,False
E0002,2025-12-17,False
E0002,2025-12-08,True
E0002,2025-12-10,False
E0002,2025-12-01,True
E0002,2025-12-03,False
E0002,2025-11-24,True
E0002,2025-11-26,False
E0002,2025-11-17,True
E0002,2025-11-19,False
E0002,2025-11-10,False
E0002,2025-11-12,True
E0003,2026-01-26,False
E0003,2026-01-28,False
E0003,2026-01-19,False
E0003,2026-01-21,False
E0003,2026-01-12,False
E0003,2026-01-14,True
E0003,2026-01-05,True
E0003,2026-01-07,True
E0003,2025-12-29,True
E0003,2025-12-31,False
E0003,2025-12-22,True
E0003,2025-12-24,False
E0003,2025-12-15,False
E0003,2025-12-17,True
E0003,2025-12-08,False
E0003,2025-12-10,True
E0003,2025-12-01,False
E0003,2025-12-03,True
E0003,2025-11-24,False
E0003,2025-11-26,False
E0003,2025-11-17,True
E0003,2025-11-19,True
E0003,2025-11-10,False
E0003,2025-11-12,False
E0004,2026-01-26,False
E0004,2026-01-28,True
E0004,2026-01-19,False
E0004,2026-01-21,True
E0004,2026-01-12,False
E0004,2026-01-14,False
E0004,2026-01-05,True
E0004,2026-01-07,True
E0004,2025-12-29,True
E0004,2025-12-31,True
E0004,2025-12-22,False
E0004,2025-12-24,False
E0004,2025-12-15,False
E0004,2025-12-17,False
E0004,2025-12-08,True
E0004,2025-12-10,False
E0004,2025-12-01,False
E0004,2025-12-03,False
E0004,2025-11-24,False
E0004,2025-11-26,False
E0004,2025-11-17,False
E0004,2025-11-19,False
E0004,2025-11-10,True
E0004,2025-11-12,True
E0005,2026-01-26,True
E0005,2026-01-28,True
E0005,2026-01-19,True
E0005,2026-01-21,True
E0005,2026-01-12,True
E0005,2026-01-14,True
E0005,2026-01-05,True
E0005,2026-01-07,True
E0005,2025-12-29,True
E0005,2025-12-31,True
E0005,2025-12-22,True
E0005,2025-12-24,False
E0005,2025-12-15,True
E0005,2025-12-17,True
E0005,2025-12-08,True
E0005,2025-12-10,True
E0005,2025-12-01,True
E0005,2025-12-03,True
E0005,2025-11-24,True
E0005,2025-11-26,True
E0005,2025-11-17,True
E0005,2025-11-19,True
E0005,2025-11-10,True
E0005,2025-11-12,True
E0006,2026-01-26,True
E0006,2026-01-28,True
E0006,2026-01-19,True
E0006,2026-01-21,True
E0006,2026-01-12,True
E0006,2026-01-14,True
E0006,2026-01-05,True
E0006,2026-01-07,True
E0006,2025-12-29,False
E0006,2025-12-31,True
E0006,2025-12-22,True
E0006,2025-12-24,True
E0006,2025-12-15,True
E0006,2025-12-17,False
E0006,2025-12-08,False
E0006,2025-12-10,True
E0006,2025-12-01,True
E0006,2025-12-03,True
E0006,2025-11-24,True
E0006,2025-11-26,True
E0006,2025-11-17,True
E0006,2025-11-19,True
E0006,2025-11-10,True
E0006,2025-11-12,True
E0007,2026-01-26,True
E0007,2026-01-28,True
E0007,2026-01-19,False
E0007,2026-01-21,False
E0007,2026-01-12,True
E0007,2026-01-14,False
E0007,2026-01-05,False
E0007,2026-01-07,True
E0007,2025-12-29,False
E0007,2025-12-31,False
E0007,2025-12-22,False
E0007,2025-12-24,False
E0007,2025-12-15,False
E0007,2025-12-17,True
E0007,2025-12-08,False
E0007,2025-12-10,True
E0007,2025-12-01,True
E0007,2025-12-03,True
